用户ID,评价内容,情绪标签,口感关键词,产品提及,省份
U001,杨枝甘露里的西柚粒爆汁感太绝了！每次必加,积极,爆汁,杨枝甘露,广东
U002,茶百道的芋泥真的绝了绵密又不腻超级治愈,积极,绵密治愈,芋泥,浙江
U003,新品加了马蹄爆爆珠嚼起来好解压口感丰富,积极,嚼劲解压,马蹄爆爆珠,四川
U004,醉步上道茶味很浓但小料太少了不够嚼,中性,嚼劲不足,醉步上道,上海
U005,这个新的桂花冻太甜了喝一半就腻了,消极,太甜腻,桂花冻,北京
U006,杨枝甘露yyds！芒果和椰奶搭配完美,积极,顺滑,杨枝甘露,广东
U007,希望多出一些脆脆口感的小料现在都是软趴趴的,消极,口感硬脆,全品类,江苏
U008,芋圆波波很有嚼劲是我心中的top1小料,积极,有嚼劲,芋圆波波,福建
U009,新品试了椰椰雪糕底料不够清爽有点糊嘴,消极,糊嘴不爽,椰椰雪糕,湖南
U010,茶百道的血糯米配奶茶真的是绝配饱腹感强,积极,饱腹软糯,血糯米,安徽
U011,爆珠在嘴里炸开的感觉太爽了求多出这类小料,积极,爆破感,爆珠系列,广东
U012,杨枝甘露还是茶百道的最正其他家都不行,积极,正宗,杨枝甘露,浙江
